Signal Recording: Id=eda68de99dee4e9299d31c34fee9a5f9 (started 16:02:56 and finished 16:03:15)

Time	J1	J2	J3	J4	J5	J6
7.896	102.903199733494	-18.7734186791093	54.3476342257785	172.589891797274	-41.6900813351672	18.4420640043572
7.92	101.398440757449	-19.0426510758129	54.2608737478464	174.568174128099	-41.3852397472257	15.2757932108144
7.944	99.8339995884358	-19.1356970353287	54.1980223471039	175.760943723236	-41.3219887804168	12.7616509499778
7.968	97.9796237193449	-19.0837500315961	54.1472774566653	176.424633204886	-41.4672634889684	10.456791661726
7.992	95.7498674836592	-18.9984563367883	54.0895965091245	177.117105103699	-41.6729512207288	7.78040167225034
8.016	93.3498687829109	-18.9066483490596	54.0275135046637	177.862442666687	-41.8943381422964	4.89967077894132
8.04	90.9498632519735	-18.8148403613309	53.9654270851083	178.607766569298	-42.115725063864	2.01893903185865
8.064	88.5498713814144	-18.7230340811494	53.9033440806475	179.353104132286	-42.3371119854316	-0.861792181615483
8.088	86.1498726806662	-18.6312260934207	53.8412610761866	180.098441695275	-42.5584989069992	-3.74252360853303
8.112	83.7498808101071	-18.5394163981447	53.7791746566312	180.843779258263	-42.7798892436615	-6.62325492872887
8.136	81.3498821093588	-18.4476101179632	53.7170916521704	181.589103160873	-43.0012727501345	-9.50398624892472
8.16	78.9498765784214	-18.3558021302345	53.6550086477096	182.334427063483	-43.2226630867967	-12.3847175691206
8.184	76.5498847078623	-18.2639941425058	53.5929256432487	183.07977828685	-43.4440500083643	-15.2654488893164
8.208	74.1498860071141	-18.1721861547771	53.5308426387879	183.82510218946	-43.6654369299319	-18.1461802095122
8.232	71.749894136555	-18.0803798745956	53.4687596343271	184.570453412827	-43.8868238514996	-21.0269115297081
8.256	69.3498954358068	-17.9885718868669	53.4066766298662	185.315777315437	-44.1082141881618	-23.9076428499039
8.28	66.9498967350585	-17.8967638991382	53.3445902103108	186.061114878426	-44.3295976946348	-26.7883741700998
8.304	64.5498980343103	-17.8049559114095	53.2825037907554	186.806438781036	-44.550988031297	-29.6691054902956
8.328	62.149899333562	-17.713149631228	53.2204207862946	187.551776344024	-44.7723749528647	-32.5498368104915
8.352	59.7499074630029	-17.6213416434993	53.1583377818337	188.297113907013	-44.9937618744323	-35.4305681306873
